pubid,title,grad,undergrad
u5HHmVD_uO8C,Recent warming reverses long-term Arctic cooling,Caleb Schiff,
SAZ1SQo2q1kC,Land carbon models underestimate the severity and duration of drought’s impact on plant productivity,Hannah Kolus,
Vr2j17o0sqMC,Reconstructing Holocene temperatures in time and space using paleoclimate data assimilation,Chris Hancock,
TGkaJS32XoUC,The 4.2 ka event is not remarkable in the context of Holocene climate variability,Georgia Roberts; Leah Marshall; Chris Hancock; Stephanie Arcusa; Hannah Kolus; Frank Telles,
HhcuHIWmDEUC,"Holocene summer temperature reconstruction from sedimentary chlorophyll content, with treatment of age uncertainties, Kurupa Lake, Arctic Alaska",Brandon Boldt,
unp9ATQDT5gC,"Dust-drought interactions over the last 15,000 years: A network of lake sediment records from the San Juan Mountains, Colorado",Stephanie Arcusa,
ijdKiLOsEJMC,A multiproxy database of western North American Holocene paleoclimate records,Stephanie Arcusa,
MIg0yeAD4ggC,"A 4,500‐year‐long record of southern Rocky Mountain dust deposition",Stephanie Arcusa,
TaaCk18tZOkC,Dust‐drought nexus in the southwestern United States: A proxy‐model comparison approach,Stephanie Arcusa,
FsLZdJ3BAzkC,Global synthesis of regional Holocene hydroclimate variability using proxy and model data,Chris Hancock,
jlhcAiayVhoC,Reconstructing postglacial hydrologic and environmental change in the eastern Kenai Peninsula lowlands using proxy data and mass balance modeling,Ellie Broadman,
__bU50VfleQC,"A 16,000-yr-long sedimentary sequence from Lakes Peters and Schrader (Neruokpuk Lakes), northeastern Brooks Range, Alaska",Christopher Benson,
SIv7DqKytYAC,"Using correlated tephras to refine radiocarbon-based age models, upper and lower Whitshed Lakes, south-central Alaska",Paul Zander,
-uzm3Y7AvW0C,"An Arctic watershed observatory at Lake Peters, Alaska: weather–glacier–river–lake system data for 2015–2018",Ellie Broadman; Stephanie Arcusa; Charlotte Wiman; Ann Wong; Christopher Benson; Rebecca Ellerbroek; Lorna Thurston,
mel-f30kHHgC,"Modelling suspended sediment discharge in a glaciated Arctic catchment–Lake Peters, northeast Brooks Range, Alaska",Lorna Thurston,
3_LpOwP6eMYC,"Suspended sediment deposition and sediment yields at Lake Peters, northeast Brooks Range, Alaska: Fluvial‐and lake‐based approaches",Lorna Thurston,
E7VqQtBCVmcC,"Evidence for millennial-scale interactions between Hg cycling and hydroclimate from Lake Bosumtwi, Ghana",Sarah Robinson,
Og1tA8FjbJAC,A Bayesian approach to integrating radiometric dating and varve measurements in intermittently indistinct sediment,Stephanie Arcusa; Charlotte Wiman,
vVJNg6_NJEsC,Early Holocene atmospheric circulation changes over northern Europe based on isotopic and biomarker evidence from Kola Peninsula,Leah Marshall,
PuOEWVtPfzwC,A global Data Assimilation of Moisture Patterns from 21 000–0 BP (DAMP-21ka) using lake level proxy records,Chris Hancock,
JH5k92_tO-AC,"A 15,800 year record of productivity, carbon accumulation and environmental change at Eight Mile Lake and its catchment, central Alaska",Leah Marshall,
wE-fMHVdjMkC,The onset and rate of Holocene Neoglacial cooling in the Arctic,Paul Zander,
8VtEwCQfWZkC,Radiocarbon dating of lake sediment using low-temperature combustion,Leah Marshall,
uUvzmPk0f8oC,Spanish colonization triggered 17th-century landscape dust regime shift in the Southwestern United States,Frank Telles,
as0KMg8qHbkC,Millennial-scale carbon-source changes revealed by sedimentary radiocarbon in Arctic lakes,Leah Marshall,
v_tt_AnqfNMC,"Holocene glacier fluctuations at Eklutna Lake, Chugach Mountains, south-central Alaska",Hunter Allen,
